age,km,hp_kw,gears,weight_kg,displacement_cc,previous_owners,inspection_new,body_type_Compact,body_type_Coupe,body_type_Sedans,body_type_Station wagon,body_type_Transporter,body_type_Van,upholstery_type_Cloth,upholstery_type_Part/Full Leather,gearing_type_Automatic,gearing_type_Manual,gearing_type_Semi-automatic,fuel_Benzine,fuel_Diesel,fuel_Electric,fuel_LPG/CNG,make_Audi,make_Opel,make_Renault,model_A1,model_A3,model_Astra,model_Clio,model_Corsa,model_Espace,model_Insignia
3.0,56013.0,66.0,7.0,1220.0,1422.0,2.0,1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2.0,80000.0,141.0,7.0,1255.0,1798.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,83450.0,85.0,7.0,1135.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,73000.0,66.0,6.0,1195.0,1422.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,16200.0,66.0,7.0,1135.0,1422.0,1.0,1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,63668.0,85.0,7.0,1135.0,1598.0,1.0,0,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,62111.0,85.0,7.0,1195.0,1598.0,1.0,1,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,14986.0,66.0,7.0,1180.0,1422.0,1.0,1,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,57000.0,85.0,7.0,1275.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2.0,16103.0,70.0,7.0,1135.0,999.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,11300.0,85.0,7.0,1250.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,26415.0,92.0,7.0,1135.0,1395.0,1.0,1,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,31600.0,92.0,7.0,1135.0,1395.0,1.0,0,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,45764.0,112.0,7.0,1135.0,1395.0,1.0,0,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,34914.0,70.0,7.0,1135.0,999.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,27000.0,85.0,7.0,1275.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,9752.0,85.0,5.0,1175.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2.0,28408.0,66.0,7.0,1220.0,1422.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,50280.0,70.0,7.0,1065.0,999.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,13406.0,85.0,7.0,1135.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2.0,51160.0,85.0,7.0,1275.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,15850.0,92.0,7.0,1180.0,1395.0,1.0,1,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,17000.0,92.0,7.0,1190.0,1395.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,9077.0,85.0,7.0,1630.0,1598.0,1.0,0,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,3000.0,70.0,7.0,1165.0,999.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,115000.0,70.0,5.0,1135.0,999.0,1.0,0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,84029.0,70.0,5.0,1180.0,999.0,1.0,1,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,67800.0,70.0,5.0,1135.0,999.0,1.0,0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
